time,plate,well,raw_od,hour,well_id,plt_well,well_row,well_column,condition,ratio,xmic,mic ug/ml,OD_minimum_of_each_well,od_corrected,OD_zero_mean_of_each_group_replicate_timepoint,od_normalized
0:00:34,1,A1,0.205,0.00944,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.03,1.0
0:59:29,1,A1,0.2,0.99139,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.03,1.0
1:59:31,1,A1,0.2,1.99194,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.03,1.0
2:59:31,1,A1,0.2,2.99194,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.03,1.0
3:59:33,1,A1,0.202,3.9925,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.06733333333333334,0.4455445544554455
4:59:33,1,A1,0.205,4.9925,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.1533333333333333,0.19565217391304351
5:59:34,1,A1,0.21,5.99278,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.168,0.17857142857142855
6:59:35,1,A1,0.216,6.99306,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.17,0.1764705882352941
7:59:36,1,A1,0.226,7.99333,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03,0.17099999999999996,0.17543859649122812
8:59:37,1,A1,0.236,8.99361,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.035999999999999976,0.17099999999999996,0.2105263157894736
9:59:38,1,A1,0.25,9.99389,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.04999999999999999,0.17,0.29411764705882343
10:59:39,1,A1,0.26,10.99417,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.06,0.16899999999999996,0.35502958579881666
11:59:40,1,A1,0.27,11.99444,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.07,0.16766666666666663,0.41749502982107367
